2026-08-11 16:13:23,882 [INFO] __main__: [394/1439] 301187.SZ: fetched=52, saved=51, filtered=1, err=0 | 进度: 64只/分, 预计剩余: 16分
2026-08-11 16:13:23,986 [INFO] __main__: [395/1439] 301189.SZ: fetched=34, saved=34, filtered=0, err=0 | 进度: 64只/分, 预计剩余: 16分
2026-08-11 16:13:24,209 [INFO] __main__: [396/1439] 301195.SZ: fetched=138, saved=137, filtered=0, err=0 | 进度: 64只/分, 预计剩余: 16分
2026-08-11 16:13:25,177 [INFO] __main__: [397/1439] 301196.SZ: fetched=287, saved=286, filtered=0, err=0 | 进度: 64只/分, 预计剩余: 16分
2026-08-11 16:13:25,296 [INFO] __main__: [398/1439] 301199.SZ: fetched=25, saved=25, filtered=0, err=0 | 进度: 64只/分, 预计剩余: 16分
2026-08-11 16:13:25,506 [INFO] __main__: [399/1439] 301202.SZ: fetched=163, saved=162, filtered=0, err=0 | 进度: 64只/分, 预计剩余: 16分
2026-08-11 16:13:25,574 [INFO] __main__: [400/1439] 301203.SZ: fetched=2, saved=2, filtered=0, err=0 | 进度: 64只/分, 预计剩余: 16分
2026-08-11 16:13:26,412 [INFO] __main__: [401/1439] 301205.SZ: fetched=101, saved=100, filtered=0, err=0 | 进度: 64只/分, 预计剩余: 16分
2026-08-11 16:13:27,181 [INFO] __main__: [402/1439] 301208.SZ: fetched=225, saved=225, filtered=0, err=0 | 进度: 64只/分, 预计剩余: 16分
2026-08-11 16:13:27,818 [INFO] __main__: [403/1439] 301210.SZ: fetched=80, saved=79, filtered=0, err=0 | 进度: 64只/分, 预计剩余: 16分
2026-08-11 16:13:27,893 [INFO] __main__: [404/1439] 301212.SZ: fetched=36, saved=36, filtered=0, err=0 | 进度: 64只/分, 预计剩余: 16分
2026-08-11 16:13:28,110 [INFO] __main__: [405/1439] 301213.SZ: fetched=46, saved=45, filtered=0, err=0 | 进度: 65只/分, 预计剩余: 16分
2026-08-11 16:13:28,712 [INFO] __main__: [406/1439] 301216.SZ: fetched=191, saved=145, filtered=45, err=0 | 进度: 65只/分, 预计剩余: 16分
