2026-08-11 16:22:55,105 [INFO] __main__: [424/795] 605222.SH: fetched=69, saved=68, filtered=1, err=0 | 进度: 75只/分, 预计剩余: 5分
2026-08-11 16:22:55,168 [INFO] __main__: [425/795] 605228.SH: fetched=5, saved=5, filtered=0, err=0 | 进度: 75只/分, 预计剩余: 5分
2026-08-11 16:22:55,539 [INFO] __main__: [426/795] 605277.SH: fetched=273, saved=135, filtered=0, err=0 | 进度: 75只/分, 预计剩余: 5分
2026-08-11 16:22:56,166 [INFO] __main__: [427/795] 605358.SH: fetched=427, saved=124, filtered=0, err=0 | 进度: 75只/分, 预计剩余: 5分
2026-08-11 16:22:56,405 [INFO] __main__: [428/795] 605365.SH: fetched=14, saved=14, filtered=0, err=0 | 进度: 76只/分, 预计剩余: 5分
2026-08-11 16:22:56,526 [WARNING] __main__: 605376.SH 触发频率限制，等待 2s 后重试 (attempt 1/3)
2026-08-11 16:22:58,610 [INFO] __main__: [429/795] 605376.SH: fetched=45, saved=45, filtered=0, err=0 | 进度: 75只/分, 预计剩余: 5分
2026-08-11 16:22:58,662 [WARNING] __main__: 605378.SH 触发频率限制，等待 2s 后重试 (attempt 1/3)
2026-08-11 16:23:00,745 [WARNING] __main__: 605378.SH 触发频率限制，等待 4s 后重试 (attempt 2/3)
2026-08-11 16:23:04,868 [INFO] __main__: [430/795] 605378.SH: fetched=17, saved=17, filtered=0, err=0 | 进度: 74只/分, 预计剩余: 5分
2026-08-11 16:23:04,916 [WARNING] __main__: 605389.SH 触发频率限制，等待 2s 后重试 (attempt 1/3)
2026-08-11 16:23:07,871 [INFO] __main__: [431/795] 605389.SH: fetched=305, saved=114, filtered=0, err=0 | 进度: 73只/分, 预计剩余: 5分
2026-08-11 16:23:07,949 [WARNING] __main__: 605398.SH 触发频率限制，等待 2s 后重试 (attempt 1/3)
2026-08-11 16:23:10,532 [INFO] __main__: [432/795] 605398.SH: fetched=200, saved=2, filtered=0, err=0 | 进度: 73只/分, 预计剩余: 5分
2026-08-11 16:23:38,801 [INFO] __main__: [433/795] 605488.SH: fetched=60, saved=59, filtered=1, err=0 | 进度: 68只/分, 预计剩余: 5分
2026-08-11 16:23:38,900 [INFO] __main__: [434/795] 605555.SH: fetched=18, saved=18, filtered=0, err=0 | 进度: 68只/分, 预计剩余: 5分
2026-08-11 16:23:39,366 [INFO] __main__: [435/795] 605589.SH: fetched=1000, saved=22, filtered=0, err=0 | 进度: 68只/分, 预计剩余: 5分
2026-08-11 16:23:39,438 [INFO] __main__: [436/795] 605598.SH: fetched=33, saved=31, filtered=2, err=0 | 进度: 68只/分, 预计剩余: 5分
2026-08-11 16:23:39,554 [INFO] __main__: [437/795] 688002.SH: fetched=106, saved=73, filtered=3, err=0 | 进度: 68只/分, 预计剩余: 5分
2026-08-11 16:23:39,746 [INFO] __main__: [438/795] 688003.SH: fetched=169, saved=161, filtered=8, err=0 | 进度: 69只/分, 预计剩余: 5分
2026-08-11 16:23:39,881 [INFO] __main__: [439/795] 688005.SH: fetched=61, saved=61, filtered=0, err=0 | 进度: 69只/分, 预计剩余: 5分
2026-08-11 16:23:39,956 [INFO] __main__: [440/795] 688006.SH: fetched=20, saved=20, filtered=0, err=0 | 进度: 69只/分, 预计剩余: 5分
2026-08-11 16:23:40,192 [INFO] __main__: [441/795] 688007.SH: fetched=238, saved=138, filtered=0, err=0 | 进度: 69只/分, 预计剩余: 5分
2026-08-11 16:23:40,517 [INFO] __main__: [442/795] 688008.SH: fetched=259, saved=152, filtered=0, err=0 | 进度: 69只/分, 预计剩余: 5分
2026-08-11 16:23:40,912 [INFO] __main__: [443/795] 688010.SH: fetched=70, saved=69, filtered=0, err=0 | 进度: 69只/分, 预计剩余: 5分
2026-08-11 16:23:40,978 [INFO] __main__: [444/795] 688011.SH: fetched=53, saved=46, filtered=7, err=0 | 进度: 69只/分, 预计剩余: 5分
2026-08-11 16:23:41,189 [INFO] __main__: [445/795] 688012.SH: fetched=59, saved=54, filtered=3, err=0 | 进度: 69只/分, 预计剩余: 5分
2026-08-11 16:23:41,398 [INFO] __main__: [446/795] 688017.SH: fetched=52, saved=49, filtered=0, err=0 | 进度: 70只/分, 预计剩余: 5分
2026-08-11 16:23:41,611 [INFO] __main__: [447/795] 688018.SH: fetched=335, saved=33, filtered=3, err=0 | 进度: 70只/分, 预计剩余: 5分
2026-08-11 16:23:41,695 [INFO] __main__: [448/795] 688022.SH: fetched=47, saved=47, filtered=0, err=0 | 进度: 70只/分, 预计剩余: 5分
2026-08-11 16:23:41,747 [INFO] __main__: [449/795] 688025.SH: fetched=5, saved=5, filtered=0, err=0 | 进度: 70只/分, 预计剩余: 5分
2026-08-11 16:23:42,140 [INFO] __main__: [450/795] 688027.SH: fetched=97, saved=95, filtered=0, err=0 | 进度: 70只/分, 预计剩余: 5分
2026-08-11 16:23:42,260 [INFO] __main__: [451/795] 688033.SH: fetched=39, saved=39, filtered=0, err=0 | 进度: 70只/分, 预计剩余: 5分
2026-08-11 16:23:42,368 [INFO] __main__: [452/795] 688035.SH: fetched=76, saved=59, filtered=3, err=0 | 进度: 70只/分, 预计剩余: 5分
2026-08-11 16:23:42,452 [INFO] __main__: [453/795] 688037.SH: fetched=32, saved=32, filtered=0, err=0 | 进度: 70只/分, 预计剩余: 5分
2026-08-11 16:23:42,767 [INFO] __main__: [454/795] 688039.SH: fetched=402, saved=84, filtered=0, err=0 | 进度: 71只/分, 预计剩余: 5分
2026-08-11 16:23:43,152 [INFO] __main__: [455/795] 688041.SH: fetched=110, saved=103, filtered=3, err=0 | 进度: 71只/分, 预计剩余: 5分
2026-08-11 16:23:43,267 [INFO] __main__: [456/795] 688045.SH: fetched=104, saved=39, filtered=0, err=0 | 进度: 71只/分, 预计剩余: 5分
