2026-08-11 16:15:14,937 [INFO] __main__: [533/1439] 301633.SZ: fetched=153, saved=153, filtered=0, err=0 | 进度: 66只/分, 预计剩余: 14分
2026-08-11 16:15:15,192 [INFO] __main__: [534/1439] 301662.SZ: fetched=76, saved=71, filtered=3, err=0 | 进度: 66只/分, 预计剩余: 14分
2026-08-11 16:15:15,476 [INFO] __main__: [535/1439] 301666.SZ: fetched=99, saved=97, filtered=0, err=0 | 进度: 66只/分, 预计剩余: 14分
2026-08-11 16:15:15,698 [INFO] __main__: [536/1439] 301667.SZ: fetched=46, saved=45, filtered=0, err=0 | 进度: 66只/分, 预计剩余: 14分
2026-08-11 16:15:15,838 [INFO] __main__: [537/1439] 301678.SZ: fetched=128, saved=126, filtered=1, err=0 | 进度: 67只/分, 预计剩余: 14分
2026-08-11 16:15:15,956 [INFO] __main__: [538/1439] 301680.SZ: fetched=147, saved=127, filtered=20, err=0 | 进度: 67只/分, 预计剩余: 14分
2026-08-11 16:15:16,185 [INFO] __main__: [539/1439] 301682.SZ: fetched=322, saved=322, filtered=0, err=0 | 进度: 67只/分, 预计剩余: 13分
2026-08-11 16:15:17,882 [INFO] __main__: [540/1439] 301683.SZ: fetched=200, saved=196, filtered=1, err=0 | 进度: 67只/分, 预计剩余: 13分
2026-08-11 16:15:20,022 [INFO] __main__: [541/1439] 301687.SZ: fetched=180, saved=180, filtered=0, err=0 | 进度: 67只/分, 预计剩余: 14分
2026-08-11 16:15:20,260 [INFO] __main__: [542/1439] 301696.SZ: fetched=54, saved=47, filtered=7, err=0 | 进度: 67只/分, 预计剩余: 13分
2026-08-11 16:15:24,249 [INFO] __main__: [544/1439] 302132.SZ: fetched=428, saved=289, filtered=138, err=0 | 进度: 66只/分, 预计剩余: 14分
2026-08-11 16:15:25,833 [INFO] __main__: [545/1439] 600008.SH: fetched=363, saved=166, filtered=0, err=0 | 进度: 66只/分, 预计剩余: 14分
2026-08-11 16:15:26,092 [INFO] __main__: [546/1439] 600022.SH: fetched=393, saved=84, filtered=81, err=0 | 进度: 66只/分, 预计剩余: 13分
2026-08-11 16:15:26,388 [INFO] __main__: [547/1439] 600031.SH: fetched=378, saved=163, filtered=6, err=0 | 进度: 66只/分, 预计剩余: 13分
2026-08-11 16:15:28,123 [INFO] __main__: [548/1439] 600038.SH: fetched=52, saved=51, filtered=1, err=0 | 进度: 66只/分, 预计剩余: 13分
2026-08-11 16:15:28,260 [INFO] __main__: [549/1439] 600039.SH: fetched=21, saved=21, filtered=0, err=0 | 进度: 66只/分, 预计剩余: 13分
2026-08-11 16:15:28,416 [INFO] __main__: [550/1439] 600050.SH: fetched=125, saved=123, filtered=2, err=0 | 进度: 66只/分, 预计剩余: 13分
2026-08-11 16:15:28,487 [INFO] __main__: [551/1439] 600052.SH: fetched=26, saved=16, filtered=10, err=0 | 进度: 67只/分, 预计剩余: 13分
2026-08-11 16:15:28,596 [INFO] __main__: [552/1439] 600053.SH: fetched=61, saved=43, filtered=18, err=0 | 进度: 67只/分, 预计剩余: 13分
2026-08-11 16:15:43,053 [INFO] __main__: [553/1439] 600055.SH: fetched=550, saved=26, filtered=2, err=0 | 进度: 65只/分, 预计剩余: 14分
2026-08-11 16:15:43,236 [INFO] __main__: [554/1439] 600057.SH: fetched=29, saved=29, filtered=0, err=0 | 进度: 65只/分, 预计剩余: 14分
2026-08-11 16:15:43,353 [INFO] __main__: [555/1439] 600060.SH: fetched=73, saved=73, filtered=0, err=0 | 进度: 65只/分, 预计剩余: 14分
2026-08-11 16:15:43,457 [INFO] __main__: [556/1439] 600067.SH: fetched=73, saved=64, filtered=9, err=0 | 进度: 65只/分, 预计剩余: 14分
2026-08-11 16:15:44,404 [INFO] __main__: [557/1439] 600071.SH: fetched=301, saved=96, filtered=1, err=0 | 进度: 65只/分, 预计剩余: 14分
2026-08-11 16:15:44,722 [INFO] __main__: [558/1439] 600081.SH: fetched=27, saved=27, filtered=0, err=0 | 进度: 65只/分, 预计剩余: 13分
2026-08-11 16:15:50,554 [INFO] __main__: [559/1439] 600094.SH: fetched=22, saved=22, filtered=0, err=0 | 进度: 65只/分, 预计剩余: 14分
2026-08-11 16:15:51,034 [INFO] __main__: [560/1439] 600096.SH: fetched=112, saved=20, filtered=92, err=0 | 进度: 65只/分, 预计剩余: 14分
2026-08-11 16:15:54,180 [INFO] __main__: [561/1439] 600100.SH: fetched=905, saved=50, filtered=247, err=0 | 进度: 64只/分, 预计剩余: 14分
2026-08-11 16:15:54,480 [INFO] __main__: [562/1439] 600103.SH: fetched=52, saved=45, filtered=7, err=0 | 进度: 64只/分, 预计剩余: 14分
2026-08-11 16:15:54,800 [INFO] __main__: [563/1439] 600105.SH: fetched=85, saved=63, filtered=21, err=0 | 进度: 65只/分, 预计剩余: 14分
2026-08-11 16:15:55,101 [INFO] __main__: [564/1439] 600110.SH: fetched=162, saved=58, filtered=5, err=0 | 进度: 65只/分, 预计剩余: 14分
2026-08-11 16:15:55,529 [INFO] __main__: [565/1439] 600111.SH: fetched=705, saved=282, filtered=255, err=0 | 进度: 65只/分, 预计剩余: 14分
2026-08-11 16:15:57,354 [INFO] __main__: [566/1439] 600114.SH: fetched=79, saved=79, filtered=0, err=0 | 进度: 65只/分, 预计剩余: 14分
2026-08-11 16:15:57,477 [INFO] __main__: [567/1439] 600117.SH: fetched=77, saved=42, filtered=0, err=0 | 进度: 65只/分, 预计剩余: 13分
2026-08-11 16:15:57,659 [INFO] __main__: [568/1439] 600118.SH: fetched=98, saved=98, filtered=0, err=0 | 进度: 65只/分, 预计剩余: 13分
2026-08-11 16:15:57,861 [INFO] __main__: [569/1439] 600121.SH: fetched=172, saved=47, filtered=6, err=0 | 进度: 65只/分, 预计剩余: 13分
2026-08-11 16:15:58,065 [INFO] __main__: [570/1439] 600135.SH: fetched=204, saved=70, filtered=15, err=0 | 进度: 65只/分, 预计剩余: 13分
2026-08-11 16:15:58,498 [INFO] __main__: [571/1439] 600141.SH: fetched=169, saved=132, filtered=37, err=0 | 进度: 65只/分, 预计剩余: 13分

Process running. session_id: 83aacd5a0bb4
Elapsed: 527.8s
Wait target not observed: '回补完成!'
