2026-08-11 15:29:42,285 [WARNING] __main__: 000795.SZ 触发频率限制，等待 4s 后重试 (attempt 2/3)
2026-08-11 15:29:46,582 [WARNING] __main__: 000795.SZ 触发频率限制，等待 8s 后重试 (attempt 3/3)
2026-08-11 15:31:16,217 [INFO] __main__: [203/2280] 002090.SZ: fetched=196, saved=69, filtered=127, err=0 | 进度: 98只/分, 预计剩余: 21分
2026-08-11 15:31:16,330 [INFO] __main__: [204/2280] 002091.SZ: fetched=186, saved=164, filtered=22, err=0 | 进度: 99只/分, 预计剩余: 21分
2026-08-11 15:31:16,411 [INFO] __main__: [205/2280] 002096.SZ: fetched=173, saved=148, filtered=25, err=0 | 进度: 99只/分, 预计剩余: 21分
2026-08-11 15:31:16,490 [INFO] __main__: [206/2280] 002097.SZ: fetched=135, saved=67, filtered=68, err=0 | 进度: 100只/分, 预计剩余: 21分
2026-08-11 15:31:16,575 [INFO] __main__: [207/2280] 002101.SZ: fetched=193, saved=182, filtered=11, err=0 | 进度: 100只/分, 预计剩余: 21分
2026-08-11 15:31:16,614 [WARNING] __main__: 002108.SZ 触发频率限制，等待 2s 后重试 (attempt 1/3)
2026-08-11 15:31:18,783 [INFO] __main__: [208/2280] 002108.SZ: fetched=283, saved=258, filtered=25, err=0 | 进度: 99只/分, 预计剩余: 21分
2026-08-11 15:31:19,078 [WARNING] __main__: 002111.SZ 触发频率限制，等待 2s 后重试 (attempt 1/3)
2026-08-11 15:31:21,248 [INFO] __main__: [209/2280] 002111.SZ: fetched=266, saved=227, filtered=39, err=0 | 进度: 97只/分, 预计剩余: 21分
2026-08-11 15:31:21,379 [INFO] __main__: [210/2280] 002116.SZ: fetched=87, saved=82, filtered=5, err=0 | 进度: 98只/分, 预计剩余: 21分
2026-08-11 15:31:21,441 [WARNING] __main__: 002117.SZ 触发频率限制，等待 2s 后重试 (attempt 1/3)
2026-08-11 15:31:23,596 [INFO] __main__: [211/2280] 002117.SZ: fetched=325, saved=325, filtered=0, err=0 | 进度: 97只/分, 预计剩余: 21分
2026-08-11 15:31:23,664 [INFO] __main__: [212/2280] 002119.SZ: fetched=47, saved=45, filtered=2, err=0 | 进度: 97只/分, 预计剩余: 21分
2026-08-11 15:31:23,814 [INFO] __main__: [213/2280] 002121.SZ: fetched=159, saved=159, filtered=0, err=0 | 进度: 98只/分, 预计剩余: 21分
2026-08-11 15:31:23,857 [WARNING] __main__: 002123.SZ 触发频率限制，等待 2s 后重试 (attempt 1/3)
2026-08-11 15:31:25,919 [INFO] __main__: [214/2280] 002123.SZ: fetched=116, saved=112, filtered=4, err=0 | 进度: 97只/分, 预计剩余: 21分
2026-08-11 15:31:26,077 [INFO] __main__: [215/2280] 002124.SZ: fetched=501, saved=267, filtered=234, err=0 | 进度: 96只/分, 预计剩余: 21分
2026-08-11 15:31:26,191 [INFO] __main__: [216/2280] 002125.SZ: fetched=257, saved=116, filtered=141, err=0 | 进度: 97只/分, 预计剩余: 21分
2026-08-11 15:31:26,260 [INFO] __main__: [217/2280] 002126.SZ: fetched=115, saved=94, filtered=21, err=0 | 进度: 97只/分, 预计剩余: 21分
2026-08-11 15:31:26,391 [INFO] __main__: [218/2280] 002129.SZ: fetched=299, saved=256, filtered=43, err=0 | 进度: 98只/分, 预计剩余: 21分
2026-08-11 15:31:26,613 [INFO] __main__: [219/2280] 002130.SZ: fetched=869, saved=816, filtered=53, err=0 | 进度: 98只/分, 预计剩余: 21分
2026-08-11 15:31:26,647 [WARNING] __main__: 002132.SZ 触发频率限制，等待 2s 后重试 (attempt 1/3)
2026-08-11 15:31:29,187 [INFO] __main__: [220/2280] 002132.SZ: fetched=234, saved=140, filtered=94, err=0 | 进度: 96只/分, 预计剩余: 21分
2026-08-11 15:31:29,245 [INFO] __main__: [221/2280] 002133.SZ: fetched=39, saved=39, filtered=0, err=0 | 进度: 97只/分, 预计剩余: 21分
2026-08-11 15:31:29,288 [INFO] __main__: [222/2280] 002134.SZ: fetched=14, saved=9, filtered=5, err=0 | 进度: 97只/分, 预计剩余: 21分
2026-08-11 15:31:29,335 [INFO] __main__: [223/2280] 002136.SZ: fetched=58, saved=58, filtered=0, err=0 | 进度: 98只/分, 预计剩余: 21分
2026-08-11 15:31:29,464 [INFO] __main__: [224/2280] 002138.SZ: fetched=265, saved=263, filtered=2, err=0 | 进度: 98只/分, 预计剩余: 21分
2026-08-11 15:31:29,595 [INFO] __main__: [225/2280] 002139.SZ: fetched=465, saved=435, filtered=30, err=0 | 进度: 99只/分, 预计剩余: 21分
2026-08-11 15:31:29,676 [INFO] __main__: [226/2280] 002140.SZ: fetched=211, saved=96, filtered=115, err=0 | 进度: 99只/分, 预计剩余: 21分
2026-08-11 15:31:29,767 [INFO] __main__: [227/2280] 002141.SZ: fetched=68, saved=59, filtered=9, err=0 | 进度: 99只/分, 预计剩余: 21分
2026-08-11 15:31:29,870 [INFO] __main__: [228/2280] 002144.SZ: fetched=101, saved=37, filtered=64, err=0 | 进度: 100只/分, 预计剩余: 21分
2026-08-11 15:31:29,959 [INFO] __main__: [229/2280] 002145.SZ: fetched=51, saved=51, filtered=0, err=0 | 进度: 100只/分, 预计剩余: 20分
