2026-08-11 16:21:17,254 [INFO] __main__: [283/795] 603370.SH: fetched=306, saved=144, filtered=0, err=0 | 进度: 70只/分, 预计剩余: 7分
2026-08-11 16:21:17,557 [INFO] __main__: [284/795] 603375.SH: fetched=219, saved=139, filtered=0, err=0 | 进度: 71只/分, 预计剩余: 7分
2026-08-11 16:21:17,839 [INFO] __main__: [285/795] 603379.SH: fetched=1000, saved=21, filtered=0, err=0 | 进度: 71只/分, 预计剩余: 7分
2026-08-11 16:21:17,953 [INFO] __main__: [286/795] 603380.SH: fetched=45, saved=9, filtered=36, err=0 | 进度: 71只/分, 预计剩余: 7分
2026-08-11 16:21:18,623 [INFO] __main__: [287/795] 603381.SH: fetched=97, saved=56, filtered=0, err=0 | 进度: 71只/分, 预计剩余: 7分
2026-08-11 16:21:19,921 [INFO] __main__: [288/795] 603386.SH: fetched=37, saved=37, filtered=0, err=0 | 进度: 71只/分, 预计剩余: 7分
2026-08-11 16:21:20,718 [INFO] __main__: [289/795] 603398.SH: fetched=107, saved=84, filtered=23, err=0 | 进度: 71只/分, 预计剩余: 7分
2026-08-11 16:21:21,220 [INFO] __main__: [290/795] 603399.SH: fetched=40, saved=40, filtered=0, err=0 | 进度: 71只/分, 预计剩余: 7分
2026-08-11 16:21:22,160 [INFO] __main__: [291/795] 603400.SH: fetched=182, saved=66, filtered=0, err=0 | 进度: 71只/分, 预计剩余: 7分
2026-08-11 16:21:22,933 [INFO] __main__: [292/795] 603408.SH: fetched=105, saved=78, filtered=2, err=0 | 进度: 71只/分, 预计剩余: 7分
2026-08-11 16:21:23,026 [INFO] __main__: [293/795] 603416.SH: fetched=47, saved=21, filtered=0, err=0 | 进度: 71只/分, 预计剩余: 7分
2026-08-11 16:21:23,258 [INFO] __main__: [294/795] 603418.SH: fetched=244, saved=80, filtered=2, err=0 | 进度: 71只/分, 预计剩余: 7分
2026-08-11 16:21:24,024 [INFO] __main__: [295/795] 603435.SH: fetched=306, saved=39, filtered=0, err=0 | 进度: 71只/分, 预计剩余: 7分
2026-08-11 16:21:28,187 [INFO] __main__: [296/795] 603459.SH: fetched=373, saved=60, filtered=0, err=0 | 进度: 70只/分, 预计剩余: 7分
2026-08-11 16:21:28,291 [INFO] __main__: [297/795] 603466.SH: fetched=11, saved=11, filtered=0, err=0 | 进度: 71只/分, 预计剩余: 7分
2026-08-11 16:21:28,887 [INFO] __main__: [298/795] 603486.SH: fetched=2, saved=2, filtered=0, err=0 | 进度: 71只/分, 预计剩余: 7分
2026-08-11 16:21:29,347 [INFO] __main__: [299/795] 603488.SH: fetched=87, saved=16, filtered=1, err=0 | 进度: 71只/分, 预计剩余: 7分
2026-08-11 16:21:29,947 [INFO] __main__: [300/795] 603489.SH: fetched=33, saved=33, filtered=0, err=0 | 进度: 71只/分, 预计剩余: 7分
2026-08-11 16:21:31,592 [INFO] __main__: [301/795] 603496.SH: fetched=985, saved=188, filtered=12, err=0 | 进度: 71只/分, 预计剩余: 7分
2026-08-11 16:21:33,912 [INFO] __main__: [302/795] 603501.SH: fetched=125, saved=125, filtered=0, err=0 | 进度: 70只/分, 预计剩余: 7分
2026-08-11 16:21:35,736 [INFO] __main__: [303/795] 603505.SH: fetched=532, saved=206, filtered=0, err=0 | 进度: 70只/分, 预计剩余: 7分
2026-08-11 16:21:36,592 [INFO] __main__: [304/795] 603506.SH: fetched=20, saved=19, filtered=0, err=0 | 进度: 70只/分, 预计剩余: 7分
2026-08-11 16:21:37,000 [INFO] __main__: [305/795] 603507.SH: fetched=958, saved=199, filtered=16, err=0 | 进度: 70只/分, 预计剩余: 7分
2026-08-11 16:21:38,592 [INFO] __main__: [306/795] 603520.SH: fetched=23, saved=23, filtered=0, err=0 | 进度: 70只/分, 预计剩余: 7分
2026-08-11 16:21:38,715 [INFO] __main__: [307/795] 603527.SH: fetched=46, saved=46, filtered=0, err=0 | 进度: 70只/分, 预计剩余: 7分
2026-08-11 16:21:39,652 [INFO] __main__: [308/795] 603528.SH: fetched=22, saved=17, filtered=5, err=0 | 进度: 70只/分, 预计剩余: 7分
2026-08-11 16:21:41,562 [INFO] __main__: [309/795] 603538.SH: fetched=54, saved=54, filtered=0, err=0 | 进度: 70只/分, 预计剩余: 7分
2026-08-11 16:21:42,624 [INFO] __main__: [310/795] 603568.SH: fetched=99, saved=84, filtered=15, err=0 | 进度: 70只/分, 预计剩余: 7分
2026-08-11 16:21:43,484 [INFO] __main__: [311/795] 603579.SH: fetched=51, saved=51, filtered=0, err=0 | 进度: 70只/分, 预计剩余: 7分
2026-08-11 16:21:43,883 [INFO] __main__: [312/795] 603583.SH: fetched=64, saved=64, filtered=0, err=0 | 进度: 70只/分, 预计剩余: 7分
2026-08-11 16:21:44,201 [INFO] __main__: [313/795] 603596.SH: fetched=1000, saved=69, filtered=162, err=0 | 进度: 70只/分, 预计剩余: 7分
2026-08-11 16:21:45,899 [INFO] __main__: [314/795] 603601.SH: fetched=944, saved=107, filtered=0, err=0 | 进度: 70只/分, 预计剩余: 7分
2026-08-11 16:21:46,419 [INFO] __main__: [315/795] 603611.SH: fetched=200, saved=199, filtered=1, err=0 | 进度: 70只/分, 预计剩余: 7分
2026-08-11 16:21:46,716 [INFO] __main__: [316/795] 603612.SH: fetched=368, saved=176, filtered=0, err=0 | 进度: 70只/分, 预计剩余: 7分
2026-08-11 16:21:47,615 [INFO] __main__: [317/795] 603617.SH: fetched=121, saved=31, filtered=0, err=0 | 进度: 70只/分, 预计剩余: 7分
2026-08-11 16:21:47,691 [INFO] __main__: [318/795] 603618.SH: fetched=51, saved=40, filtered=11, err=0 | 进度: 70只/分, 预计剩余: 7分
