2026-08-11 16:09:11,466 [INFO] __main__: [110/1439] 300501.SZ: fetched=174, saved=172, filtered=0, err=0 | 进度: 55只/分, 预计剩余: 24分
2026-08-11 16:09:11,757 [INFO] __main__: [111/1439] 300502.SZ: fetched=275, saved=241, filtered=34, err=0 | 进度: 56只/分, 预计剩余: 24分
2026-08-11 16:09:12,068 [INFO] __main__: [112/1439] 300503.SZ: fetched=257, saved=256, filtered=0, err=0 | 进度: 56只/分, 预计剩余: 24分
2026-08-11 16:09:12,782 [INFO] __main__: [113/1439] 300504.SZ: fetched=153, saved=147, filtered=4, err=0 | 进度: 56只/分, 预计剩余: 24分
2026-08-11 16:09:14,108 [INFO] __main__: [114/1439] 300508.SZ: fetched=132, saved=128, filtered=3, err=0 | 进度: 56只/分, 预计剩余: 24分
2026-08-11 16:09:14,175 [INFO] __main__: [115/1439] 300509.SZ: fetched=24, saved=24, filtered=0, err=0 | 进度: 56只/分, 预计剩余: 24分
2026-08-11 16:09:14,355 [INFO] __main__: [116/1439] 300510.SZ: fetched=150, saved=149, filtered=0, err=0 | 进度: 57只/分, 预计剩余: 23分
2026-08-11 16:09:14,473 [INFO] __main__: [117/1439] 300515.SZ: fetched=72, saved=67, filtered=5, err=0 | 进度: 57只/分, 预计剩余: 23分
2026-08-11 16:09:14,714 [INFO] __main__: [118/1439] 300516.SZ: fetched=301, saved=245, filtered=56, err=0 | 进度: 58只/分, 预计剩余: 23分
2026-08-11 16:09:16,003 [INFO] __main__: [119/1439] 300518.SZ: fetched=29, saved=26, filtered=2, err=0 | 进度: 58只/分, 预计剩余: 23分
2026-08-11 16:09:16,165 [INFO] __main__: [120/1439] 300520.SZ: fetched=241, saved=137, filtered=103, err=0 | 进度: 58只/分, 预计剩余: 23分
2026-08-11 16:09:17,971 [INFO] __main__: [121/1439] 300523.SZ: fetched=208, saved=207, filtered=0, err=0 | 进度: 58只/分, 预计剩余: 23分
2026-08-11 16:09:19,666 [INFO] __main__: [122/1439] 300525.SZ: fetched=584, saved=579, filtered=3, err=0 | 进度: 57只/分, 预计剩余: 23分
2026-08-11 16:09:19,859 [INFO] __main__: [123/1439] 300527.SZ: fetched=192, saved=192, filtered=0, err=0 | 进度: 58只/分, 预计剩余: 23分
2026-08-11 16:09:20,169 [INFO] __main__: [124/1439] 300530.SZ: fetched=99, saved=93, filtered=2, err=0 | 进度: 58只/分, 预计剩余: 23分
2026-08-11 16:09:20,255 [INFO] __main__: [125/1439] 300531.SZ: fetched=53, saved=46, filtered=7, err=0 | 进度: 58只/分, 预计剩余: 23分
2026-08-11 16:09:20,317 [INFO] __main__: [126/1439] 300532.SZ: fetched=30, saved=30, filtered=0, err=0 | 进度: 59只/分, 预计剩余: 22分
2026-08-11 16:09:20,499 [INFO] __main__: [127/1439] 300538.SZ: fetched=281, saved=186, filtered=94, err=0 | 进度: 59只/分, 预计剩余: 22分
2026-08-11 16:09:20,552 [INFO] __main__: [128/1439] 300539.SZ: fetched=3, saved=3, filtered=0, err=0 | 进度: 60只/分, 预计剩余: 22分
